table_id,table_label,table_caption,table_number,x,y,z,p_value,region,size,statistic,groups
T1,Table 1,,,-2.0,21.0,45.0,,,,,
T1,Table 1,,,4.0,36.0,27.0,,,,,
T1,Table 1,,,-41.0,15.0,39.0,,,,,
T1,Table 1,,,37.0,9.0,30.0,,,,,
T1,Table 1,,,34.0,33.0,30.0,,,,,
T1,Table 1,,,31.0,54.0,18.0,,,,,
T1,Table 1,,,-26.0,48.0,6.0,,,,,
T1,Table 1,,,-32.0,21.0,0.0,,,,,
T1,Table 1,,,28.0,18.0,0.0,,,,,
T1,Table 1,,,-56.0,-45.0,36.0,,,,,
T1,Table 1,,,34.0,-51.0,45.0,,,,,
T1,Table 1,,,-53.0,-51.0,39.0,,,,,
T1,Table 1,,,-41.0,-36.0,39.0,,,,,
T1,Table 1,,,52.0,-45.0,33.0,,,,,
T1,Table 1,,,-5.0,-21.0,30.0,,,,,
T1,Table 1,,,7.0,-33.0,30.0,,,,,
T1,Table 1,,,49.0,-36.0,0.0,,,,,
T1,Table 1,,,-50.0,-48.0,12.0,,,,,
T1,Table 1,,,-8.0,-66.0,45.0,,,,,
T1,Table 1,,,-11.0,6.0,6.0,,,,,
T1,Table 1,,,10.0,9.0,9.0,,,,,
T1,Table 1,,,13.0,0.0,3.0,,,,,
T1,Table 1,,,1.0,-27.0,3.0,,,,,
T1,Table 1,,,-14.0,-15.0,3.0,,,,,
T1,Table 1,,,-14.0,-12.0,12.0,,,,,
T1,Table 1,,,-8.0,-27.0,-6.0,,,,,
T1,Table 1,,,4.0,-27.0,-6.0,,,,,
T1,Table 1,,,16.0,-48.0,-15.0,,,,,
T1,Table 1,,,-17.0,-84.0,-21.0,,,,,
T1,Table 1,,,28.0,-54.0,-24.0,,,,,
T1,Table 1,,,-32.0,-60.0,-24.0,,,,,
T2,Table 2,,,28.0,0.0,54.0,,,,,
T2,Table 2,,,-26.0,6.0,60.0,,,,,
T2,Table 2,,,31.0,42.0,24.0,,,,,
T2,Table 2,,,-5.0,9.0,48.0,,,,,
T2,Table 2,,,-35.0,6.0,30.0,,,,,
T2,Table 2,,,19.0,-54.0,60.0,,,,,
T2,Table 2,,,-14.0,-69.0,48.0,,,,,
T2,Table 2,,,-38.0,-42.0,51.0,,,,,
T2,Table 2,,,-29.0,-75.0,30.0,,,,,
T2,Table 2,,,43.0,-69.0,3.0,,,,,
T2,Table 2,,,-53.0,-66.0,6.0,,,,,
T2,Table 2,,,-47.0,-51.0,-9.0,,,,,
T2,Table 2,,,-20.0,-96.0,3.0,,,,,
T2,Table 2,,,-14.0,-15.0,12.0,,,,,
T2,Table 2,,,10.0,-51.0,-36.0,,,,,
T3,Table 3,,,-2.0,21.0,48.0,,,,,
T3,Table 3,,,4.0,36.0,27.0,,,,,
T3,Table 3,,,-41.0,15.0,39.0,,,,,
T3,Table 3,,,37.0,15.0,36.0,,,,,
T3,Table 3,,,37.0,33.0,27.0,,,,,
T3,Table 3,,,31.0,54.0,18.0,,,,,
T3,Table 3,,,-26.0,48.0,6.0,,,,,
T3,Table 3,,,-32.0,21.0,3.0,,,,,
T3,Table 3,,,28.0,18.0,-3.0,,,,,
T3,Table 3,,,-56.0,-45.0,36.0,,,,,
T3,Table 3,,,34.0,-51.0,45.0,,,,,
T3,Table 3,,,-53.0,-51.0,39.0,,,,,
T3,Table 3,,,-41.0,-36.0,39.0,,,,,
T3,Table 3,,,52.0,-45.0,33.0,,,,,
T3,Table 3,,,-2.0,-21.0,33.0,,,,,
T3,Table 3,,,7.0,-33.0,30.0,,,,,
T3,Table 3,,,49.0,-36.0,0.0,,,,,
T3,Table 3,,,-50.0,-48.0,12.0,,,,,
T3,Table 3,,,-5.0,-66.0,42.0,,,,,
T3,Table 3,,,-11.0,6.0,6.0,,,,,
T3,Table 3,,,10.0,9.0,9.0,,,,,
T3,Table 3,,,13.0,0.0,3.0,,,,,
T3,Table 3,,,1.0,-27.0,3.0,,,,,
T3,Table 3,,,-14.0,-15.0,3.0,,,,,
T3,Table 3,,,-14.0,-12.0,12.0,,,,,
T3,Table 3,,,-8.0,-27.0,-6.0,,,,,
T3,Table 3,,,4.0,-27.0,-6.0,,,,,
T3,Table 3,,,16.0,-48.0,-15.0,,,,,
T3,Table 3,,,-17.0,-81.0,-21.0,,,,,
T3,Table 3,,,28.0,-54.0,-24.0,,,,,
T3,Table 3,,,-32.0,-60.0,-24.0,,,,,
T4,Table 4,,,-20.0,-6.0,51.0,,,,,
T4,Table 4,,,-53.0,6.0,33.0,,,,,
T4,Table 4,,,43.0,24.0,39.0,,,,,
T4,Table 4,,,-8.0,27.0,36.0,,,,,
T4,Table 4,,,-5.0,9.0,48.0,,,,,
T4,Table 4,,,22.0,-57.0,63.0,,,,,
T4,Table 4,,,-26.0,-51.0,57.0,,,,,
T4,Table 4,,,-50.0,-27.0,33.0,,,,,
T4,Table 4,,,34.0,-30.0,42.0,,,,,
T4,Table 4,,,25.0,-63.0,42.0,,,,,
T4,Table 4,,,40.0,-57.0,6.0,,,,,
T4,Table 4,,,-53.0,-69.0,3.0,,,,,
T4,Table 4,,,-44.0,-51.0,-9.0,,,,,
T4,Table 4,,,7.0,-51.0,57.0,,,,,
T4,Table 4,,,13.0,-96.0,-12.0,,,,,
