Unnamed: 0_level_0,Number of voxels,Peak MNI coordinate,Peak MNI coordinate,Peak MNI coordinate,Peak MNI coordinate region,Peak T value
Unnamed: 0_level_1,Unnamed: 1_level_1,X,Y,Z,Unnamed: 5_level_1,Unnamed: 6_level_1
1,267,24,−12,60,Right precentral gyrus,5.24
2,550,6,−57,−27,Left and right cerebellum anterior lobe,−6.92
