Peak regions,No. of voxels,Peak t,Peak MNI coordinates,Peak MNI coordinates,Peak MNI coordinates
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,x,y,z
Inferior temporal gyrus,104.0,6.45,50.0,-54.0,-4.0
middle temporal gyrus,,,,,
Lingual gyrus,118.0,5.37,28.0,-88.0,-8.0
