table_id,table_label,table_caption,table_number,x,y,z,p_value,region,size,statistic,groups
T1,TABLE 1,,,28.0,-20.0,6.0,,,,,
T1,TABLE 1,,,10.0,-26.0,-12.0,,,,,
T1,TABLE 1,,,20.0,-20.0,6.0,,,,,
T1,TABLE 1,,,26.0,-24.0,48.0,,,,,
T1,TABLE 1,,,-18.0,-6.0,4.0,,,,,
T1,TABLE 1,,,-26.0,-28.0,50.0,,,,,
T1,TABLE 1,,,-20.0,-22.0,10.0,,,,,
T1,TABLE 1,,,28.0,-20.0,6.0,,,,,
T1,TABLE 1,,,10.0,-26.0,-12.0,,,,,
T1,TABLE 1,,,20.0,-20.0,6.0,,,,,
T1,TABLE 1,,,26.0,-24.0,48.0,,,,,
T1,TABLE 1,,,-18.0,-6.0,4.0,,,,,
T1,TABLE 1,,,-26.0,-28.0,50.0,,,,,
T1,TABLE 1,,,-20.0,-22.0,10.0,,,,,
